"","Start date","End date","Year","Country name","Location","Latitude","Longitude","Magnitude value","Disaster Type","Disaster subtype","Associated dis.","Total deaths","Total affected","Total damage ('000 US$)","Insured losses ('000 US$)","Disaster No.","RainFall","Temp"
"336","1-9-1995","20-9-1995",1995,"India","Bihar, Haryana, Punjab, Rajasthan, Himachal Pradesh, Jammu and Kasmir, Uttar Pradesh, West Bengal, Maharashtra states",NA,NA,762900,"Flood","Riverine flood","--",1479,32704000,1400,NA,"1995-0228",176.999,30.9942
"337","5-9-1995","8-9-1995",1995,"India","Sikkim state",NA,NA,6520,"Flood","Riverine flood","Slide (land, mud, snow, rock)",35,550000,20000,NA,"1995-0485",176.999,24.6237
"338","23-10-1995","23-10-1995",1995,"India","Andhra Pradesh",NA,NA,80590,"Flood","Riverine flood","--",992,3000,30772,NA,"1995-0491",77.7832,29.103
"339","21-10-1996","25-10-1996",1996,"India","Tamil Nadu, Andhra Pradesh, Kerala, Karnataka states",NA,NA,177500,"Flood","Riverine flood","--",388,100000,173000,NA,"1996-0245",92.4274,29.0985
"340","10-7-1996","24-7-1996",1996,"India","West Bengal, Arunachal Pradesh, Assam",NA,NA,129000,"Flood","Riverine flood","--",82,3000000,4250000,NA,"1996-0496",236.322,27.074
"341","25-8-1996","1-9-1996",1996,"India","Bihar, Assam, Gujarat, Haryana, Kerala, Rajasthan, Uttar Pradesh",NA,NA,105100,"Flood","--","--",500,100000,3390000,NA,"1996-0501",130.065,26.8333
"342","17-7-1996","10-8-1996",1996,"India","Kishanganj, Darbhanga, Sitamarhi, Saharsa districts (Bihar state)",NA,NA,171900,"Flood","Riverine flood","--",74,4000000,420000,NA,"1996-0503",254.773,30.9942
"343","8-8-1997","14-8-1997",1997,"India","Chandigarh, Chirgaon, Himalayan state of Himachal Pradesh.",NA,NA,80590,"Flood","Riverine flood","--",135,20,118000,6200,"1997-0170",264.946,26.395
"344","22-6-1997","28-6-1997",1997,"India","Mehsana, Gandhi Nagar, Ahmedabad, Kheda, Sabarkanda, Vadodra, Banaskanda, Surender Nagar districts (Gujarat state)",NA,NA,6520,"Flood","Riverine flood","--",111,1000000,260000,NA,"1997-0337",149.317,27.1127
"345","20-9-1998","20-9-1998",1998,"India","Andhra Pradesh, Hyderabad",NA,NA,8000,"Flood","--","--",230,375000,150000,NA,"1998-0450",174.615,26.9007
"346","/09/1999","/09/1999",1999,"India","Uttar Pradesh, Bihar, West Bengal, Madhya Prasdeh, Delhi",NA,NA,312900,"Flood","--","--",229,22120000,23000,NA,"1999-0371",171.147,25.3791
"347","2-8-2000","30-8-2000",2000,"India","Katihar, Sitamarhi districts (Bihar province), Kinnaur district (Himachal Pradesh province), Bankura, Barddhaman, Birbhum, Haora, Hugli, Maldah, Murshidabad, Nadia, North 24 Parganas, West Midnapore districts (West Bengal province), Pithoragarh, Naini Tal districts (Uttarakhand province), Ahmadabad district (Gujarat province), Andhra Pradesh, Assam, Arunachal Pradesh, Madhya Pradesh, Punjab, Uttar Pradesh, Maharashtra, Rajasthan, Chandigarh, Kerala",NA,NA,3e+05,"Flood","Riverine flood","--",867,22000000,163000,NA,"2000-0445",218.708,30.6068
"348","23-8-2000","31-8-2000",2000,"India","Adilabad, Cuddapah, East Godavari, Guntur, Hyderabad, Karimnagar, Khammam, Krishna, Kurnool, Mahbubnagar, Medak, Nalgonda, Nellore, Nizamabad, Prakasam, Rangareddi, Vishakhapatnam, Warangal, West Godavari districts (Andhra Pradesh province)",NA,NA,129500,"Flood","Flash flood","--",179,252016,2000,NA,"2000-0534",218.708,26.4251
"349","18-9-2000","21-10-2000",2000,"India","Birbhum, Bardhaman, Murshidabad, Maldah districts (West Bengal province), Dumka, Sahibganj, Deoghar districts (Jharkhand province), Banka, Bhagalpur, Munger, Sheikhpura districts (Bihar province)",NA,NA,12680,"Flood","Riverine flood","--",884,24600000,30772,NA,"2000-0610",40.0914,26.923
"350","8-7-2001","10-7-2001",2001,"India","Marshagal, Mahakalpada villages (Kendrapara district, Orissa province), Kakatpur, Astaranga, Kanas, Delanga villages (Puri district, Orissa province), Banki, Kantapada villages (Cuttack district, Orissa province), Balipatna villages (Khordha district, Orissa province), Atharmalik villages (Angul district, Orissa province), Jajpur, Jagatsinghpur, Kalahandi, Koraput, Bolangir, Nayagarh, Baleshwar, Bhadrak districts (Orissa province), Dhamtari, Raipur, Mahasamund, Janjgir-Champa, Raigarh districts (Chhattisgarh province)",NA,NA,105100,"Flood","Riverine flood","--",100,9670000,276000,NA,"2001-0332",225.672,24.4623
"351","4-7-2001","16-7-2001",2001,"India","Idukki, Kottayam, Pattanamtitta, Kollam, Alappuzha districts (Kerala province)",NA,NA,4470,"Flood","Riverine flood","--",86,40000,20000,NA,"2001-0387",225.672,27.015
"352","20-8-2001","20-8-2001",2001,"India","Gopalganj, Purba Champaran, Pashchim Champaran, Muzaffarpur, Vaishali, Saran districts (Bihar province)",NA,NA,550,"Flood","--","--",158,7000000,1680000,NA,"2001-0515",201.707,26.5159
