sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Associated disaster2","Total deaths","Total affected","Total damage ('000 US$)","Insured losses ('000 US$)","Disaster name","Disaster No."
21/04/2007,21/04/2007,Chile,CHL,"Puerto Aisen, Puerto Chacabuco towns (Aisen district, Aisen del General Carlos Ibañez del Campo province), Balmacada town (Coyhaique district, Aisen province), Cochrane town (Capitan Prat district, Aisen province)",-45.243,-72.648,6.2,Richter,Earthquake,Tsunami,"Tsunami/Tidal wave",--,10,0,0,0,,2007-0158
14/11/2007,14/11/2007,Chile,CHL,"Tocopilla, Maria Elena, Quillagua town (Topicalla Province, Antofagasta Region), Mejillones (Antofagasta Province, Antofagasta Region)",-22.247,-69.89,7.7,Richter,Earthquake,"Ground movement",--,--,2,25155,100000,0,,2007-0587
27/02/2010,27/02/2010,Chile,CHL,"Biobio province, Libertador Gral. Bernardo O'higgins,  Valparaiso, Araucania, Metropolitana Santiago, Maule Provinces",-39.122,-72.898,8.8,Richter,Earthquake,Tsunami,"Tsunami/Tidal wave",--,562,2671556,30000000,8000000,,2010-0091
25/03/2012,25/03/2012,Chile,CHL,"Parral town (Linares district, Maule province), Santiago district (Metropolitana province), Biobio district (Biobio province)",-35.2,-72.217,7.1,Richter,Earthquake,"Ground movement",--,--,1,24297,100000,0,,2012-0126
01/04/2014,01/04/2014,Chile,CHL,"Arica y Painacota province, Alto Hospicio commune (Iquique district, Tarapaca province)",-19.61,-70.77,8.2,Richter,Earthquake,"Ground movement","Tsunami/Tidal wave","Slide (land, mud, snow, rock)",6,513387,100000,0,,2014-0094
16/09/2015,16/09/2015,Chile,CHL,"Araucania, Atacama, Biobio, Coquimbo, Libertador Gral. Bernardo O’Higgins, Maule, Metropolitana, Valparaiso provinces",-31.573,-71.76,8.3,Richter,Earthquake,Tsunami,"Tsunami/Tidal wave",--,19,681499,800000,350000,,2015-0435
11/03/1999,11/03/1999,China,CHN,"Zangbei County, Level 1 = Hebei",41.131,114.658,5.1,Richter,Earthquake,"Ground movement",--,--,0,16003,0,0,,1999-0383
01/11/1999,01/11/1999,China,CHN,"Shanxi Province (Datong Area)",39.899,113.983,5.6,Richter,Earthquake,"Ground movement",--,--,0,3020004,44000,0,,1999-0455
29/11/1999,29/11/1999,China,CHN,"Between Xiuyan and Haicheng (Sanjianfang, Liaoning province)",40.459,122.889,5,Richter,Earthquake,"Ground movement",--,--,0,800,0,0,,1999-0553
14/01/2000,14/01/2000,China,CHN,"Yongren Xian, Yao'an Xian, Nanhua Xian, Dayao Xian areas (Chuxiong Yi district, Yunnan Sheng province), Xiangyun Xian area (Dali Bai district, Yunnan Sheng province)
",25.607,101.063,5.9,Richter,Earthquake,"Ground movement",--,--,7,1855007,73500,0,,2000-0033
26/01/2000,26/01/2000,China,CHN,"Mile Xian area (Honghe Hani and Yi district, Yunnan Sheng province), Qiubei Xian area (Wenshan Zhuang and Miao district, Yunnan Sheng province)",24.263,103.797,5.5,Richter,Earthquake,"Ground movement",--,--,1,10302,483,0,,2000-0036
11/01/2000,11/01/2000,China,CHN,"Xiuyan Manzu Zizhixian area (Anshan district, Liaoning Sheng province)",40.498,122.994,5.1,Richter,Earthquake,"Ground movement",--,--,0,62030,0,0,,2000-0041
06/06/2000,06/06/2000,China,CHN,"Lanzhou Shi area (Lanzhou district, Gansu Sheng province)",37.012,103.791,5.9,Richter,Earthquake,"Ground movement",--,--,0,100,0,0,,2000-0298
21/08/2000,21/08/2000,China,CHN,"Wuding Xian area (Chuxiong Yi district, Yunnan Sheng province)",25.826,102.194,5.1,Richter,Earthquake,"Ground movement",--,--,1,177611,43000,0,,2000-0527
23/02/2001,23/02/2001,China,CHN,"Yajiang Xian, Kangding Xian areas (Garze Tibetan district, Sichuan Sheng province)",29.513,101.129,5.6,Richter,Earthquake,"Ground movement",--,--,3,300109,24000,0,,2001-0064
12/04/2001,12/04/2001,China,CHN,"Shidian area (Baoshan district, Yunnan Sheng province)",24.768,99.061,5.6,Richter,Earthquake,"Ground movement","Slide (land, mud, snow, rock)",--,2,150190,31000,0,,2001-0151
23/05/2001,23/05/2001,China,CHN,"Ninglang Yi Zizhixian area (Lijiang district, Yunnan Sheng province), Yanyuan Xian area (Liangshan Yi district, Sichuan Sheng province)",27.689,101.003,5.5,Richter,Earthquake,"Ground movement",--,--,2,10605,36000,0,,2001-0214
14/07/2001,14/07/2001,China,CHN,"Donghua village (Yongsheng Xian area, Lijiang district, Yunnan Sheng province)",24.455,102.66,4.6,Richter,Earthquake,"Ground movement",--,--,0,25000,0,0,,2001-0389
27/10/2001,27/10/2001,China,CHN,"Yongsheng  area (Lijiang district, Yunnan Sheng province)",26.316,100.648,5.6,Richter,Earthquake,"Ground movement",--,--,1,17220,0,0,,2001-0598
08/08/2002,08/08/2002,China,CHN,"Rulong village (Xinlong Xian area, Garze Tibetan district, Sichuan Sheng province)",30.916,99.93,5.2,Richter,Earthquake,"Ground movement",--,--,0,378,0,0,,2002-0655
14/12/2002,14/12/2002,China,CHN,"Yumen Shi (Jiuquan district, Gansu Sheng province)",39.736,97.443,5.6,Richter,Earthquake,"Ground movement",--,--,2,65500,0,0,,2002-0835
24/02/2003,24/02/2003,China,CHN,"Payzawat village (Jiashi Xian area, Kashgar district, Xinjiang Uygur Zizhiqu province), Bachu Xian, Yuepuhu Xian, Yingjisha Xian, Maigaiti Xian, Shule Xian, Shufu Xian, Kashi Shi areas (Kashgar district, Xinjiang Uygur Zizhiqu province)",39.61,77.23,6.3,Richter,Earthquake,"Ground movement",--,--,268,517000,157000,0,,2003-0105
17/04/2003,17/04/2003,China,CHN,"Huaitoutalazhen village (Delingha Shi area, Haixi Mongol and Tibetan district, Qinghai Sheng province)",37.529,96.476,6.4,Richter,Earthquake,"Ground movement",--,--,0,3300,0,0,,2003-0183
04/05/2003,04/05/2003,China,CHN,"Bachu Xian, Jiashi Xian areas (Kashgar district, Xinjiang Uygur Zizhiqu province)",39.43,77.219,5.8,Richter,Earthquake,"Ground movement",--,--,1,8003,0,0,,2003-0209
21/07/2003,21/07/2003,China,CHN,"Dayao Xian area (Chuxiong Yi district, Yunnan Sheng province)",25.975,101.29,6,Richter,Earthquake,"Ground movement","Slide (land, mud, snow, rock)",--,16,1295584,75000,0,,2003-0348
16/08/2003,16/08/2003,China,CHN,"Lindong village (Balin-Zuo Qi area, Chifeng district, Nei Mongol Zizhiqu province), Tianshanzhen village (Aluke'erqin Qi area, Chifeng district, Nei Mongol Zizhiqu province)",43.77,119.643,5.4,Richter,Earthquake,"Ground movement",--,--,4,455500,167000,0,,2003-0402
16/10/2003,16/10/2003,China,CHN,"Dayao Xian area (Chuxiong Yi district, Yunnan Sheng province)",25.954,101.254,5.6,Richter,Earthquake,"Ground movement",--,--,3,60056,60000,0,,2003-0509
25/10/2003,25/10/2003,China,CHN,"Minle Xian, Shandan Xian, Sunan Yugu Zizhixian areas (Zhangye district, Gansu Sheng province)

",38.383,100.975,5.8,Richter,Earthquake,"Ground movement",--,--,9,275043,40000,0,,2003-0519
13/11/2003,13/11/2003,China,CHN,"Min Xian area (Dingxi district, Gansu Sheng province), Lintan Xian, Zhuoni Xian areas (Gannan Tibetan district, Gansu Sheng province),",34.712,103.834,5.1,Richter,Earthquake,"Ground movement",--,--,1,23369,0,0,,2003-0546
14/11/2003,14/11/2003,China,CHN,"Ludian Xian area (Zhaotong district, Yunnan Sheng province)",27.372,103.971,5.6,Richter,Earthquake,"Ground movement",--,--,4,493065,0,0,,2003-0547
01/12/2003,01/12/2003,China,CHN,"Zhaosu Xian area (Ili Kazakh district, Xinjiang Uygur Zizhiqu province)",42.905,80.515,6,Richter,Earthquake,"Ground movement",--,--,11,6018,1933,0,,2003-0582
26/11/2003,26/11/2003,China,CHN,"Ludian Xian area (Zhaotong district, Yunnan Sheng province)",27.283,103.753,4.7,Richter,Earthquake,"Ground movement",--,--,0,10004,0,0,,2003-0596
24/03/2004,24/03/2004,China,CHN,"Xiwuzhumuqin Qi area (Xilin Gol district, Nei Mongol Zizhiqu province)",45.382,118.256,5.5,Richter,Earthquake,"Ground movement",--,--,0,190100,74000,0,,2004-0126
10/08/2004,10/08/2004,China,CHN,"Ludian Xian area (Zhaotong district, Yunnan Sheng province)",27.266,103.873,5.4,Richter,Earthquake,"Ground movement",--,--,4,120600,50000,0,,2004-0406
18/10/2004,18/10/2004,China,CHN,"Baoshan district (Yunnan Sheng province)",25.073,99.169,4.8,Richter,Earthquake,"Ground movement",--,--,0,100012,0,0,,2004-0522
07/09/2004,07/09/2004,China,CHN,"Gansu Sheng province",34.682,103.781,5.2,Richter,Earthquake,"Ground movement",--,--,0,22019,0,0,,2004-0571
04/05/2004,04/05/2004,China,CHN,"Delingha area (Haixi Mongol and Tibetan district, Qinghai Sheng province)",,,5.5,Richter,Earthquake,"Ground movement",--,--,0,4199,0,0,,2004-0680
26/11/2005,26/11/2005,China,CHN,"Jiujiang district (Jiangxi Sheng province)",29.671,115.688,5.2,Richter,Earthquake,"Ground movement",--,--,16,615500,0,0,,2005-0651
05/08/2005,05/08/2005,China,CHN,"Huize area (Qujing district, Yunnan Sheng province)",26.569,103.036,5.2,Richter,Earthquake,"Ground movement",--,--,0,18509,0,0,,2005-0740
12/01/2006,12/01/2006,China,CHN,"Mojiang area (Pu'er district, Yunnan Sheng province)",,,5,Richter,Earthquake,"Ground movement",--,--,0,68761,6900,0,,2006-0061
22/07/2006,22/07/2006,China,CHN,"Yanjin area (Zhaotong district, Yunnan Sheng province)",27.995,104.138,4.9,Richter,Earthquake,"Ground movement",--,--,22,265106,0,0,,2006-0397
20/06/2006,20/06/2006,China,CHN,"Xinsi village (Tongwei Xian area, Dingxi district, Gansu Sheng province), Linjian village (Lintan Xian area, Gannan Tibetan district, Gansu Sheng province), Liping village (Hui Xian area, Longnan district, Gansu Sheng province)",33.068,104.95,4.9,Richter,Earthquake,"Ground movement",--,--,0,130,0,0,,2006-0464
25/08/2006,25/08/2006,China,CHN,"Doushazhen village (Yanjin Xian area, Zhaotong district, Yunnan Sheng province)",28.012,104.151,5,Richter,Earthquake,"Ground movement","Slide (land, mud, snow, rock)",--,1,45551,0,0,,2006-0475
27/10/2006,27/10/2006,China,CHN,"Hubei Sheng province",,,4.7,Richter,Earthquake,"Ground movement",--,--,0,20000,0,0,,2006-0586
03/11/2006,03/11/2006,China,CHN,"Chifeng district (Nei Mongol Zizhiqu province)",,,4.2,Richter,Earthquake,"Ground movement",--,--,0,12000,291,0,,2006-0620
02/06/2007,02/06/2007,China,CHN,"Pu'er district (Yunnan Sheng province)",23.028,101.052,6.1,Richter,Earthquake,"Ground movement",--,--,3,329,342000,10000,,2007-0217
12/05/2008,12/05/2008,China,CHN,"Wenchuan Xian, Aba Xian areas (Ngawa Tibetan and Qiang district, Sichuan Sheng province), Chengdu Shi area (Chengdu district, Sichuan Sheng province), Deyang Shi, Mianzhu areas (Deyang district, Sichuan Sheng province), Beichuan Xian, Mianyang Shi areas (Mianyang district, Sichuan Sheng province), Gansu Sheng, Chongqing Shi, Guizhou Sheng, Hubei Sheng, Hunan Sheng, Henan Sheng, Shaanxi Sheng, Shanxi Sheng, Yunnan Sheng provinces",31.002,103.322,7.9,Richter,Earthquake,"Ground movement","Slide (land, mud, snow, rock)",--,87476,45976596,85000000,300000,,2008-0192
05/08/2008,05/08/2008,China,CHN,"Qingchuan area (Guangyuan district, Sichuan Sheng province)",32.756,105.494,6,Richter,Earthquake,"Ground movement",--,--,4,13529,0,0,,2008-0325
21/08/2008,21/08/2008,China,CHN,"Yingjiang area (Dehong Dai and Jingpo district, Yunnan Sheng province)",25.039,97.697,5,Richter,Earthquake,"Ground movement",--,--,6,160,0,0,,2008-0355
30/08/2008,30/08/2008,China,CHN,"Huili area (Liangshan Yi district, Sichuan Sheng province), Miyi area (Panzhihua district, Sichuan Sheng province), Kunming, Chuxiong Yi, Zhaotong, Lijiang, Dali Bai districts (Yunnan Sheng province)",26.241,101.889,6,Richter,Earthquake,"Ground movement",--,--,40,1000589,492000,0,,2008-0374
06/10/2008,06/10/2008,China,CHN,"Ningzhongxiang village (Dangxiong Xian area, Lhasa district, Xizang Zizhiqu province)",29.807,90.35,6.3,Richter,Earthquake,"Ground movement",--,--,30,754,0,0,,2008-0455
25/12/2008,25/12/2008,China,CHN,"Yunnan Sheng province",23.97,97.569,4.8,Richter,Earthquake,"Ground movement",--,--,0,27169,0,0,,2008-0588
25/05/2008,25/05/2008,China,CHN,"Sichuan Sheng province",32.56,105.423,6.1,Richter,Earthquake,"Ground movement",--,--,8,351000,0,0,,2008-0650
