sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Associated disaster2","Total deaths","Total affected","Total damage ('000 US$)","Insured losses ('000 US$)","Disaster name","Disaster No."
19/09/2002,19/09/2002,Australia,AUS,"New South Wales province",,,120,Kph,Storm,"Convective storm",--,--,0,0,0,0,,2002-0637
05/12/2002,05/12/2002,Australia,AUS,"Port Stephens, Greater Taree districts (New South Wales province)",,,0,Kph,Storm,--,--,--,0,129,0,0,,2002-0798
09/01/2003,09/01/2003,Australia,AUS,"New South Wales province",,,100,Kph,Storm,--,--,--,1,0,0,0,,2003-0066
18/05/2003,18/05/2003,Australia,AUS,"Greater Bendigo district (Victoria province)",,,130,Kph,Storm,"Convective storm",--,--,0,270,0,0,,2003-0288
24/10/2003,24/10/2003,Australia,AUS,"Sydney district (New South Wales province)",,,,Kph,Storm,"Convective storm",Flood,--,0,1500,0,0,Hailstorm,2003-0560
03/12/2003,03/12/2003,Australia,AUS,"Melbourne district (Victoria province)",,,,Kph,Storm,"Convective storm",Flood,--,0,0,93000,75000,,2003-0615
09/12/2003,09/12/2003,Australia,AUS,"Gladstone district (Queensland province)",,,,Kph,Storm,"Convective storm",--,--,0,300,0,0,,2003-0616
17/07/2004,18/07/2004,Australia,AUS,"Victoria, New South Wales provinces",,,,Kph,Storm,--,--,--,0,600,0,0,,2004-0400
07/11/2004,07/11/2004,Australia,AUS,"Brisbane district (Queensland province)",,,,Kph,Storm,--,Hail,Flood,2,45,10000,0,,2004-0589
24/01/2004,31/01/2004,Australia,AUS,"Victoria, Queensland provinces",,,,Kph,Storm,--,Hail,Rain,1,0,50000,30000,,2004-0674
21/01/2005,21/01/2005,Australia,AUS,"Narrabri, Jerilderie, Wagga Wagga, Griffith, Bega Valley, Eurobodalla, Shoalhaven, Campbelltown districts (New South Wales province)",,,124,Kph,Storm,--,--,--,0,600,27000,0,,2005-0068
02/12/2005,02/12/2005,Australia,AUS,"Australian Capital Territory, Queensland, New South Wales, Victoria provinces",,,,Kph,Storm,--,--,--,1,600,15000,0,,2005-0697
09/01/2006,31/01/2006,Australia,AUS,"Wyndham-East Kimberley, Ashburton, East Pilbara, Port Hedland, Roebourne, Upper Gascoyne districts (Western Australia province)",-23.26,116.94,,Kph,Storm,"Tropical cyclone",Flood,--,0,1500,2354,0,Clare,2006-0043
20/03/2006,02/04/2006,Australia,AUS,"Cairns district (Queensland province)",-17.91,145.54,290,Kph,Storm,"Tropical cyclone",Flood,--,0,7030,1180000,335000,Larry,2006-0139
30/03/2006,05/04/2006,Australia,AUS,"Exmouth, Ashburton, East Pilbara, Port Hedland, Roebourne districts (Western Australia province)",-25.68,115.13,235,Kph,Storm,"Tropical cyclone",Rain,--,0,500,0,0,Glenda,2006-0155
02/03/2007,16/03/2007,Australia,AUS,"Darwin district (Northern Territory province), Ashburton, East Pilbara, Port Hedland, Roebourne districts (Western Australia province)",-13.67,131.92,275,Kph,Storm,"Tropical cyclone",Flood,--,2,820,100000,0,"George and Jacob",2007-0591
15/11/2008,21/11/2008,Australia,AUS,"Brisbane, Logan, Gold Coast, Sunshine Coast, Moreton Bay districts (Queensland province)",-30.05,151.49,,Kph,Storm,"Convective storm",Flood,Hail,1,12000,450000,380000,,2008-0525
26/01/2009,20/02/2009,Australia,AUS,"Queensland province",-20.11,120.56,,Kph,Storm,"Tropical cyclone",Flood,--,0,400,0,0,"Tropical storm ""Dominic""",2009-0048
19/05/2009,28/05/2009,Australia,AUS,"Queensland, New South Wales provinces",-29.05,152.73,130,Kph,Storm,"Convective storm",Flood,--,1,15000,60000,0,,2009-0230
06/03/2010,10/03/2010,Australia,AUS,"Victoria, New South Wales, Tasmania provinces",,,100,Kph,Storm,"Convective storm",Hail,Flood,0,0,1330000,950000,,2010-0102
21/03/2010,21/03/2010,Australia,AUS,"Mackay, Whitsunday districts (Queensland province)",,,200,Kph,Storm,"Tropical cyclone",--,--,1,0,0,0,"Cyclone ""Ului""",2010-0120
22/03/2010,22/03/2010,Australia,AUS,"Joondalup, Mandurah, Perth districts (Western Australia province)",,,120,Kph,Storm,"Convective storm",Hail,--,0,0,1390000,990000,,2010-0125
