term	cat
failure of the crop	FOOD SECURITY
failure of crop	FOOD SECURITY
malnourish	FOOD SECURITY
malnourishment	FOOD SECURITY
malnourished	FOOD SECURITY
malnutrition	FOOD SECURITY
drought	WATER SECURITY
water shortage	WATER SECURITY
drinking water	WATER SECURITY
water access	WATER SECURITY
water security	WATER SECURITY
water shortage	WATER SECURITY
water scarcity	WATER SECURITY
shortage of water	WATER SECURITY
water crisis	WATER SECURITY
water supply	WATER SECURITY
water emergency	WATER SECURITY
water level	WATER SECURITY
desertification	WATER SECURITY
poor rainfall	WATER SECURITY
lack of rainfall	WATER SECURITY
lack of rain	WATER SECURITY
no rain	WATER SECURITY
potable water	WATER SECURITY
agriculture	AGRICULTURE
agricultural	AGRICULTURE
animal husbandry	AGRICULTURE
farm	AGRICULTURE
farm	AGRICULTURE
farmer	AGRICULTURE
rancher	AGRICULTURE
herder	AGRICULTURE
pastoralist	AGRICULTURE
livestock	AGRICULTURE
cattle	AGRICULTURE
crop	AGRICULTURE
harvest	AGRICULTURE
harvest	AGRICULTURE
herbicide	AGRICULTURE
pesticide	AGRICULTURE
nuclear proliferation	ID PROLIFERATION
weapon proliferation	ID PROLIFERATION
non proliferation	ID PROLIFERATION
nonproliferation	ID PROLIFERATION
arms proliferation	ID PROLIFERATION
missile proliferation	ID PROLIFERATION
missile technology proliferation	ID PROLIFERATION
arms trade	ID ARMS DEAL
arms sale	ID ARMS DEAL
arms deal	ID ARMS DEAL
weapons sale	ID ARMS DEAL
weapons deal	ID ARMS DEAL
weapons shipment	ID ARMS DEAL
weapons cargo	ID ARMS DEAL
arms cargo	ID ARMS DEAL
arms shipment	ID ARMS DEAL
missile sale	ID ARMS DEAL
missile shipment	ID ARMS DEAL
cargo of weapon	ID ARMS DEAL
cargo of arm	ID ARMS DEAL
shipment of weapon	ID ARMS DEAL
shipment of arm	ID ARMS DEAL
water cannon	VIOLENT UNREST
tear gas	VIOLENT UNREST
rubber bullet	VIOLENT UNREST
smoke grenade	VIOLENT UNREST
stun grenade	VIOLENT UNREST
angry mob	VIOLENT UNREST
clash with police	VIOLENT UNREST
clash with soldiers	VIOLENT UNREST
clash with protester	VIOLENT UNREST
clash with demonstrator	VIOLENT UNREST
deadly clashes	VIOLENT UNREST
violent clashes	VIOLENT UNREST
protest turned violent	VIOLENT UNREST
fire into the crowd	VIOLENT UNREST
shot at the protester	VIOLENT UNREST
shot at protester	VIOLENT UNREST
shot into the protesters	VIOLENT UNREST
disperse the crowd	VIOLENT UNREST
disperse the protest	VIOLENT UNREST
disperse the protest	VIOLENT UNREST
disperse the demonstrator	VIOLENT UNREST
break up the protest	VIOLENT UNREST
break up the demonstration	VIOLENT UNREST
smashed police	VIOLENT UNREST
smash car	VIOLENT UNREST
violent protests	VIOLENT UNREST
violent unrest	VIOLENT UNREST
rioter	VIOLENT UNREST
riot police	VIOLENT UNREST
landmine	LANDMINE
land mine	LANDMINE
land mine	LANDMINE
antipersonnel mine	LANDMINE
anti personnel mine	LANDMINE
anti tank mine	LANDMINE
roadside bomb	IED
roadside bomb	IED
homemade bomb	IED
carbomb	IED
carbombs	IED
carbombing	IED
car bomb	IED
car bomb	IED
truck bomb	IED
truck bomb	IED
pipe bomb	IED
pipe bomb	IED
nail bomb	IED
nail bomb	IED
nail bombed	IED
nail bombing	IED
ied	IED
ieds	IED
improvised explosive device	IED
peacekeeper	PEACEKEEPERS
peacekeeping	PEACEKEEPERS
peacekeepers	PEACEKEEPERS
stabilization force	PEACEKEEPERS
stabilization forces	PEACEKEEPERS
un forces	PEACEKEEPERS
united nations forces	PEACEKEEPERS
african union mission in somalia	PEACEKEEPERS
united nations angola verification mission	PEACEKEEPERS
united nations operation in the congo	PEACEKEEPERS
united nations transition assistance group	PEACEKEEPERS
united nations observer mission in liberia	PEACEKEEPERS
united nations observer mission uganda-rwanda	PEACEKEEPERS
united nations operation in somalia	PEACEKEEPERS
united nations aouzou strip observer	PEACEKEEPERS
united nations observer mission in angola	PEACEKEEPERS
united nations observer mission in sierra leone	PEACEKEEPERS
united nations mission in the central african republic	PEACEKEEPERS
united nations mission in sierra leone	PEACEKEEPERS
united nations mission in ethiopia and eritrea	PEACEKEEPERS
united nations operation in burundi	PEACEKEEPERS
united nations organization mission in the democratic republic of the congo	PEACEKEEPERS
united nations mission in the central african republic and chad	PEACEKEEPERS
united nations mission in the sudan	PEACEKEEPERS
united nations observer group in central america	PEACEKEEPERS
united nations observer mission in el salvador	PEACEKEEPERS
united nations mission in haiti	PEACEKEEPERS
united nations support mission in haiti	PEACEKEEPERS
united nations verification mission in guatemala	PEACEKEEPERS
united nations transition mission in haiti	PEACEKEEPERS
united nations civilian police mission in haiti	PEACEKEEPERS
united nations general assembly international civilian support mission in haiti	PEACEKEEPERS
united nations security force in west new guinea	PEACEKEEPERS
united nations india-pakistan observation mission	PEACEKEEPERS
united nations good offices mission in afghanistan and pakistan	PEACEKEEPERS
united nations advance mission in cambodia	PEACEKEEPERS
united nations transitional authority in cambodia	PEACEKEEPERS
united nations mission of observers in tajikistan	PEACEKEEPERS
united nations mission in east timor	PEACEKEEPERS
the united nations transitional administration in east timor	PEACEKEEPERS
united nations mission of support in east timor	PEACEKEEPERS
united nations integrated mission in timor-leste	PEACEKEEPERS
united nations protection force	PEACEKEEPERS
united nations observer mission in georgia	PEACEKEEPERS
united nations confidence restoration operation	PEACEKEEPERS
united nations mission in bosnia and herzegovina	PEACEKEEPERS
united nations preventive deployment force	PEACEKEEPERS
united nations transitional authority in eastern slavonia, baranja and western sirmium	PEACEKEEPERS
united nations mission of observers in prevlaka	PEACEKEEPERS
united nations civilian police support group	PEACEKEEPERS
united nations iran-iraq military observer group	PEACEKEEPERS
united nations iraq-kuwait observation mission	PEACEKEEPERS
united nations supervision mission in syria	PEACEKEEPERS
united nations mission for the referendum in western sahara	PEACEKEEPERS
united nations mission in liberia	PEACEKEEPERS
united nations operation in cote d'ivoire	PEACEKEEPERS
united nations/african union mission in darfur	PEACEKEEPERS
united nations organization stabilization mission in the democratic republic of the congo	PEACEKEEPERS
united nations interim security force for abyei	PEACEKEEPERS
united nations mission in the republic of south sudan	PEACEKEEPERS
united nations support mission in libya	PEACEKEEPERS
multidimensional integrated stabilization mission in mali	PEACEKEEPERS
international support mission in the central african republic	PEACEKEEPERS
united nations stabilization mission in haiti	PEACEKEEPERS
united nations military observer group in india and pakistan	PEACEKEEPERS
united nations assistance mission in afghanistan	PEACEKEEPERS
united nations truce supervision organization	PEACEKEEPERS
united nations disengagement observer force	PEACEKEEPERS
united nations interim force in lebanon	PEACEKEEPERS
united nations peacekeeping force in cyprus	PEACEKEEPERS
united nations interim administration mission in kosovo	PEACEKEEPERS
unmik	PEACEKEEPERS
onuc	PEACEKEEPERS
unavem	PEACEKEEPERS
onumoz	PEACEKEEPERS
unomil	PEACEKEEPERS
unamsil	PEACEKEEPERS
unmee	PEACEKEEPERS
onub	PEACEKEEPERS
monuc	PEACEKEEPERS
minurcat	PEACEKEEPERS
unmis	PEACEKEEPERS
minugua	PEACEKEEPERS
onusal	PEACEKEEPERS
unmih	PEACEKEEPERS
ungomap	PEACEKEEPERS
unamic	PEACEKEEPERS
untac	PEACEKEEPERS
unmot	PEACEKEEPERS
unamet	PEACEKEEPERS
untaet	PEACEKEEPERS
unmiset	PEACEKEEPERS
unmit	PEACEKEEPERS
unprofor	PEACEKEEPERS
unomig	PEACEKEEPERS
uncro	PEACEKEEPERS
unmibh	PEACEKEEPERS
unpredep	PEACEKEEPERS
unmop	PEACEKEEPERS
unyom	PEACEKEEPERS
uniimog	PEACEKEEPERS
unikom	PEACEKEEPERS
unsmis	PEACEKEEPERS
minurso	PEACEKEEPERS
