nameEN	nameAR	altName	lat	lon	population	place	id
Kassala State	كسل	Kassala State كسل,Kassala,Кассала,Al Wilāyah ash Sharqīyah	36.0181112	16.0431989	14e5	state	node/321446209
Wadi Al-Malik	NA		30.7139936	18.2117005	NA	locality	node/321458660
Kutum	كتم	Wadi Kutum	24.661729	14.20312	45e3	city	node/321459449
Tawilah	طويلة		24.8612293	13.513868	NA	town	node/321474738
Zalingei	زالنجي		23.4738132	12.9134096	27258	city	node/321481872
Kas	كاس		24.2859432	12.5058244	NA	city	node/321484289
Babanusah	بابنوسة		27.8095803	11.3305456	NA	city	node/321502878
Muglad	المجلد		27.7545176	11.0323699	NA	city	node/321503273
Sudan	السودان	Soedan,ሱዳን,Sudán,sudan,Судан,Sudaŋ,সুদান,སུ་དཱན།,Soudan,ᏑᏕᏂ,Súdán,སུ་ཌཱན,Sudan nutome,Σουδάν,Sudano,Sudaan,سودان,Norðursudan,Sûdan,An tSúdáin,સુદાન,Yn Toodaan,Sudana,סודן,सूडान,Szudán,Սուդան,Súdan,スーダン,სუდანი,Sudani,ស៊ូដង់,ಸೂಡಾನ್,수단,سوٗڈان,der Sudahn,Sudania,Sudaani,Soedaan,Sudá,ຊູດານ,Sudanas,Sudāna,Sodan,സുഡാൻ,सुदान,ဆူဒန်,सुडान,ସୁଦାନ୍,Sudão,Davvisudan,Sudäan,සූඩානය,Suudaan,சூடான்,సుడాన్,ประเทศซูดาน,Sūteni,ma Sutan,سوڈان,Sudän,Orílẹ́ède Sudani,苏丹,Sūdān,i-Sudan,جمهورية السودان,Рэспубліка Судан,Republik Soudan,Δημοκρατία του Σουδάν,Republic of Sudan,Respubliko Sudano,Sudaani Vabariik,République du Soudan,Republik Sudan,Komara Sûdanê,Sudano Respublika,República do Sudão,Republica Sudan,Республика Судан,Република Судан,Republiken Sudan,Republika ng Sudan,Cộng hòa Sudan	29.4917691	14.5844444	39379358	country	node/424297973
Dilling	الدانج	الدلنج	29.6516649	12.0315831	59089	city	node/576348786
Abu Sufyan	NA		26.401794	11.8937546	NA	town	node/667976356
El Fuwela/Bueda	NA		26.5135456	11.7756419	NA	town	node/667976361
Kafran Kualah	NA		26.4167285	11.8065611	NA	town	node/667976372
El Sahab	NA		26.3976741	11.7427024	NA	town	node/667976374
Badi	NA		26.4551807	11.7042119	NA	town	node/667976375
Wad Belal	NA		26.519897	11.6860574	NA	town	node/667976377
Hamouda	NA		26.5569759	11.7237099	NA	town	node/667976380
Jabrona	NA		26.6704441	11.7731211	NA	town	node/667976382
Kunjari	NA		26.6793704	11.7448872	NA	town	node/667976384
Dalil Dokhry	NA		26.7466617	11.8354607	NA	town	node/667976400
Monjar	NA		26.8221927	11.8270599	NA	town	node/667976404
Futaha	NA		26.8836475	11.7647185	NA	town	node/667976437
Shaq El Leyoun	NA		26.9619251	11.8238676	NA	town	node/667976469
Habila	هبيلة		22.5593433	12.6815542	NA	town	node/696839744
For Baranga	NA		22.6080951	12.1241034	NA	town	node/696840765
Beida	البيضاء‎‎		21.8920955	12.7123675	NA	town	node/696842412
Gobe	NA		22.4532565	12.4416195	NA	town	node/696850923
Um Sangamti	NA		22.5045833	12.4473189	NA	village	node/696851626
Abu Dahiya	NA		22.4905071	12.7036598	NA	village	node/696852241
Tawang	NA		22.4093112	12.7982565	NA	village	node/696854181
Sawani	NA		22.3930034	12.8821083	NA	village	node/696854923
Jedida	الجديدة		22.3449382	12.7862037	NA	village	node/696856122
Arara	أرارا		22.1658954	12.7304518	NA	town	node/696856666
Masmaja	NA		22.5171146	12.7759918	NA	village	node/696857442
Ior	NA		22.6384792	12.6102004	NA	village	node/696858055
Sala	NA		22.6673183	12.5203937	NA	village	node/696858372
Mangarsa	NA		22.6779613	12.4049059	NA	village	node/696859320
Jimeza Nabakaya	NA		22.5117931	12.0630054	NA	village	node/696860429
Haja Bakar	NA		22.5109348	12.1387045	NA	village	node/696861338
Kasha	NA		22.4439868	12.3852897	NA	village	node/696865914
Tundosa	NA		22.4644145	12.3066423	NA	village	node/696871484
Dunqunab	دنقناب		37.1184721	21.1050972	NA	village	node/704031042
Wadi Hesmet Omar	وادي حسمة عمر	Wâdi Hesmet Omar, Wadi Hesmet Omar, Wadi Hismet Umar	33.083333	21.783333	NA	locality	node/767969921
Wadi al Sahabah	وادي الصحابة	Wādī aş Şaḩābah, Wadi al Sahabah	31.366667	22	NA	locality	node/768073825
Nusb al Hidirina	نصب الهدرينة	Nuṣb el-Hidirîna, Nusb al Hidirina	32.616667	22	NA	locality	node/768074096
Nubia	النوبة	Nubia, Nubia,Nubie	32	20	NA	region	node/768807730
Fidimin al Qibliya	فديمين القبلية	Fidîmîn el Qiblîya, Fidimin al Qibliya	30.766667	20.383333	NA	hamlet	node/768807731
Atbay	عتباي	‘Atbāy, Atbay	35	22	NA	region	node/768807825
Amarat	العمارات	العمارات Amarat,New Extension	32.5475348	15.5728003	NA	suburb	node/952665742
Manshiya	المنشية		32.5796123	15.5941744	NA	suburb	node/952665745
Hay al-Mataar	حي المطار		32.54289	15.5977034	NA	suburb	node/981596171
Nasir Extension	امتداد ناصر		32.5654633	15.5917419	NA	suburb	node/981596177
Diyum	الديم	Deims,الديوم	32.53391	15.5727773	NA	suburb	node/981626829
ALsajana	السجانة		32.5268209	15.5777016	NA	suburb	node/981641128
Hillat al-Jadida	الحلة الجديدة		32.5203732	15.5719703	NA	suburb	node/981641131
Light Industrial Area	المنطقة الصناعية الخرطوم	Zone industrielle légère	32.5181818	15.5840229	NA	suburb	node/981641135
Riyadh	الرياض		32.5677069	15.5835188	NA	suburb	node/995288255
Hay al-Safa	NA		32.5593811	15.5910229	NA	suburb	node/995288261
Umara	NA		32.4829743	15.6356207	NA	suburb	node/995378723
Masalama	NA		32.4883807	15.6534618	NA	suburb	node/995392527
Hay al Arab	NA		32.4820444	15.6539159	NA	suburb	node/995392547
Wad Nubawi	NA		32.4920354	15.6560136	NA	suburb	node/995392552
Mayo	مايو		32.549376	15.4836158	NA	suburb	node/1100613539
Kafouri 8	كافوري 8	كافوري	32.5776975	15.635426	NA	suburb	node/1107456718
NA	سوبا اللعوتة		32.6300767	15.4926512	NA	suburb	node/1137250434
Soba West	سوبا غرب		32.6450635	15.5026721	NA	suburb	node/1137250435
Gebel Belesagado	NA		34.95	10.86667	NA	locality	node/1150885878
Herguanga	NA		35.08333	11.55	NA	locality	node/1150886637
Ze`Ilan Wenz	NA		34.18333	10.31667	NA	locality	node/1150903241
Bumbode	NA		34.95	11.23333	NA	locality	node/1150904733
El Begaiya	NA		35.7	12.66667	NA	locality	node/1150908663
Bolbole Wenz	NA		34.28333	10.53333	NA	locality	node/1150917047
Zair	NA		35.68333	12.65	NA	locality	node/1150920482
Komesha Shet'	NA		34.25	10.41667	NA	locality	node/1150934822
Ganeberri	NA		34.78333	10.73333	NA	locality	node/1150936818
Jebel Belangashe	NA		34.86667	10.8	NA	locality	node/1150947576
Jabal Oss	NA		34.23333	10.05	NA	locality	node/1150973472
Casciangaro	NA		34.6	10.9	NA	locality	node/1151004669
Gooz	حي القوز		32.5149256	15.5696915	NA	suburb	node/1246405898
Rumiela	NA		32.5084725	15.57001	NA	suburb	node/1246405899
Jeref West	NA		32.58181	15.5694263	NA	suburb	node/1246409436
Arkaweet	اركويت		32.5701715	15.5589542	NA	suburb	node/1246409437
Jabra	NA		32.5147122	15.5269748	NA	suburb	node/1246409439
Garden City	NA		32.5669111	15.6109328	NA	suburb	node/1272551131
Umm Baddah	NA		32.4381441	15.6527206	NA	suburb	node/1272567929
Khartoum 1	الخرطوم ١	الخرطوم 1	32.5414206	15.5901543	NA	suburb	node/1405605485
Maamoura	المعمورة		32.5759243	15.5452588	NA	suburb	node/1410710400
Al Taif	الطائف		32.5707987	15.5672228	NA	suburb	node/1410710401
Abbas Island	NA		32.6084878	13.3272393	NA	island	node/1541500059
Karari	NA		32.5303962	15.7936066	NA	village	node/1580700723
Merowe	مروي		31.8171688	18.4811972	1e4	city	node/1620604084
Argo	ارقو		30.4203725	19.5269115	7716	town	node/1789680555
Al Kurumuk	الكرمك	al Kurumuk	34.2849452	10.556617	NA	town	node/1795209723
Dalil Babikir	NA		26.6698306	11.8472324	NA	town	node/1820997112
Niser	NA		30.5068861	20.3572975	NA	village	node/1834967844
Mellit	مليط	Malit	25.5504429	14.1394199	NA	city	node/1870260644
Khartoum 2	الخرطوم 2		32.535677	15.5901497	NA	suburb	node/1870728179
NA	نادي الاسرة		32.5277806	15.5871428	NA	suburb	node/1870728180
Downtown	وسط مدينة		32.5266471	15.6023198	NA	suburb	node/1875207300
NA	امري الجديدة القرية 3		31.6282551	18.1072618	NA	village	node/1886583995
Al-Madina Arab	NA		33.310028	14.3595329	NA	town	node/1888319953
Delgo	دلقو		30.559885	20.119244	NA	town	node/1895872571
Abu Jibeha	أبو جبيهة	Abu-Gebeiha,Абу-Губейха	31.2339838	11.4646721	NA	city	node/1895967608
