term	cat
carry out 	DEFENSE
play down 	DEFENSE
rule out	DEFENSE
reveal sign	DEFENSE
live up to	DEFENSE
look for	DEFENSE
search for 	DEFENSE
is determined 	DEFENSE
shake up 	DEFENSE
embark on	DEFENSE
kick off	DEFENSE
open up	DEFENSE
set in motion 	DEFENSE
beef up  	DEFENSE
build up 	DEFENSE
wind up 	DEFENSE
clear up 	DEFENSE
take note 	DEFENSE
watch over 	DEFENSE
gear up	DEFENSE
get together 	DEFENSE
go away 	DEFENSE
go forth 	DEFENSE
go to 	DEFENSE
leave behind 	DEFENSE
pull out	DEFENSE
walk out	DEFENSE
find out 	DEFENSE
ask for	DEFENSE
communicate with	DEFENSE
meet with 	DEFENSE
run into 	DEFENSE
give notice 	DEFENSE
send word 	DEFENSE
side with	DEFENSE
beef up	DEFENSE
step up 	DEFENSE
tie in 	DEFENSE
pay for 	DEFENSE
step in 	DEFENSE
look after	DEFENSE
go by 	DEFENSE
go through 	DEFENSE
hash out	DEFENSE
settle on	DEFENSE
talk over	DEFENSE
set free 	DEFENSE
back down	DEFENSE
draw back 	DEFENSE
get out 	DEFENSE
pull back  	DEFENSE
pull out 	DEFENSE
abide by	DEFENSE
conform to	DEFENSE
drop out 	DEFENSE
give in 	DEFENSE
give up 	DEFENSE
look over	DEFENSE
glance over	DEFENSE
dress down 	DEFENSE
lash out 	DEFENSE
bridle at	DEFENSE
call up	DEFENSE
drum up 	DEFENSE
pull together	DEFENSE
cordon off	DEFENSE
vote down	DEFENSE
crack down 	DEFENSE
arrest and 	DEFENSE
take over 	DEFENSE
boot out	DEFENSE
kick out  	DEFENSE
wipe out	DEFENSE
blow up 	DEFENSE
gun down 	DEFENSE
kidnapped and killed 	DEFENSE
killed and 	DEFENSE
killed or 	DEFENSE
shoot down 	DEFENSE
stamp out 	DEFENSE
string up 	DEFENSE
attacked and stabbed 	DEFENSE
fight back 	DEFENSE
fight down 	DEFENSE
shot and 	DEFENSE
square off	DEFENSE
wage war	DEFENSE
foray into	DEFENSE
intrude on	DEFENSE
