name	normalname	country	latitude	longitude	population
Buenos Aires	Buenos Aires	AR	-34.61315	-58.37723	13076300
Barranqueras	Barranqueras	AR	-27.48132	-58.93925	50823
Azul	Azul	AR	-36.77698	-59.85854	53941
Avellaneda	Avellaneda	AR	-29.11761	-59.65834	23077
Aristóbulo del Valle	Aristóbulo del Valle	AR	-27.09625	-54.89626	20683
Zapala	Zapala	AR	-38.89916	-70.05442	31534
Yerba Buena	Yerba Buena	AR	-26.81667	-65.31667	50783
Villa Regina	Villa Regina	AR	-39.1	-67.06667	31209
Villa Paula de Sarmiento	Villa Paula de Sarmiento	AR	-31.4933	-68.53838	19092
Villa María	Villa María	AR	-32.40751	-63.24016	92453
Villa Dolores	Villa Dolores	AR	-31.94585	-65.18958	28009
Villa Constitución	Villa Constitución	AR	-33.22778	-60.3297	44271
Villa Carlos Paz	Villa Carlos Paz	AR	-31.42414	-64.49778	69451
Villa Ángela	Villa Ángela	AR	-27.57383	-60.71526	43511
Villa Allende	Villa Allende	AR	-31.29458	-64.29538	21683
Viedma	Viedma	AR	-40.81345	-62.99668	48940
Victoria	Victoria	CA	48.43294	-123.3693	289625
Vera	Vera	AR	-29.4593	-60.21261	19797
Venado Tuerto	Venado Tuerto	AR	-33.74556	-61.96885	72340
Veinticinco de Mayo	Veinticinco de Mayo	AR	-35.4323	-60.17271	24668
Ushuaia	Ushuaia	AR	-54.8	-68.3	58028
Unquillo	Unquillo	AR	-31.23073	-64.31615	15369
Tres Isletas	Tres Isletas	AR	-26.34067	-60.43207	24747
Tres Arroyos	Tres Arroyos	AR	-38.37394	-60.27978	47136
Trelew	Trelew	AR	-43.24895	-65.30505	93442
Termas de Río Hondo	Termas de Río Hondo	AR	-27.49362	-64.85972	27838
Tartagal	Tartagal	AR	-22.51637	-63.80131	60819
Tafí Viejo	Tafí Viejo	AR	-26.73201	-65.25921	48459
Sunchales	Sunchales	AR	-30.94404	-61.56148	18757
Santiago del Estero	Santiago del Estero	AR	-27.79511	-64.26149	354692
Santa Rosa	Santa Rosa	PH	14.31222	121.11139	216650
Santa Lucía	Santa Lucía	ES	27.91174	-15.54071	63637
Santa Fe de la Vera Cruz	Santa Fe de la Vera Cruz	AR	-31.63333	-60.7	489505
San Salvador de Jujuy	San Salvador de Jujuy	AR	-24.19457	-65.29712	305891
San Ramón de la Nueva Orán	San Ramón de la Nueva Orán	AR	-23.13705	-64.32426	74059
San Rafael	San Rafael	AR	-34.61772	-68.33007	109163
San Nicolás de los Arroyos	San Nicolás de los Arroyos	AR	-33.33578	-60.22523	127742
San Miguel de Tucumán	San Miguel de Tucumán	AR	-26.82414	-65.2226	781023
San Martín de los Andes	San Martín de los Andes	AR	-40.15789	-71.35337	23519
San Martín	San Martín	AR	-33.08103	-68.46814	82549
